,Total_counts,X,Y,label,region,Region,ground_truth,x,y
Cell_300,730,9967.59226133354,-1219.4179494069326,L2/3,L2/3,L2/3,L2/3,9967.59226133354,-1219.4179494069326
Cell_301,294,9134.174335930837,-1216.9567715147036,L4,L4,L4,L4,9134.174335930837,-1216.9567715147036
Cell_302,346,2631.9889615699103,-1228.5536152318655,CC,CC,CC,CC,2631.9889615699103,-1228.5536152318655
Cell_303,714,9536.791261403903,-1238.4927618185932,L2/3,L2/3,L2/3,L2/3,9536.791261403903,-1238.4927618185932
Cell_306,674,4676.9663387267265,-1257.9059273111634,L6,L6,L6,L6,4676.9663387267265,-1257.9059273111634
Cell_307,501,12803.096144153225,-1233.0880166330646,L1,L1,L1,L1,12803.096144153225,-1233.0880166330646
Cell_308,330,8358.900085198668,-1266.2943226705909,L4,L4,L4,L4,8358.900085198668,-1266.2943226705909
Cell_309,249,7821.148222222222,-1243.6683703703704,L4,L4,L4,L4,7821.148222222222,-1243.6683703703704
Cell_310,249,10336.177042171406,-1238.51091533329,L2/3,L2/3,L2/3,L2/3,10336.177042171406,-1238.51091533329
Cell_311,672,4518.31580575317,-1240.4608722548714,L6,L6,L6,L6,4518.31580575317,-1240.4608722548714
Cell_312,204,12926.94379032258,-1253.750806451613,L1,L1,L1,L1,12926.94379032258,-1253.750806451613
Cell_313,296,8008.630755922279,-1264.6760713335111,L4,L4,L4,L4,8008.630755922279,-1264.6760713335111
Cell_315,554,3399.126559991715,-1262.722748692455,L6,L6,L6,L6,3399.126559991715,-1262.722748692455
Cell_316,597,244.6287343732296,-1283.5447369414965,HPC,HPC,HPC,HPC,244.6287343732296,-1283.5447369414965
Cell_317,341,13013.608494085049,-1234.7541830970904,L1,L1,L1,L1,13013.608494085049,-1234.7541830970904
Cell_318,318,907.7424593101387,-1306.317455577124,HPC,HPC,HPC,HPC,907.7424593101387,-1306.317455577124
Cell_319,501,12211.03347689898,-1270.9087705559907,L1,L1,L1,L1,12211.03347689898,-1270.9087705559907
Cell_320,348,1874.2156063389987,-1295.1897680293982,CC,CC,CC,CC,1874.2156063389987,-1295.1897680293982
Cell_321,509,3682.6929732128,-1292.338860850757,L6,L6,L6,L6,3682.6929732128,-1292.338860850757
Cell_323,345,13102.10534591195,-1321.4647151313354,L1,L1,L1,L1,13102.10534591195,-1321.4647151313354
Cell_324,272,1420.7231046750517,-1323.8061331863507,CC,CC,CC,CC,1420.7231046750517,-1323.8061331863507
Cell_325,700,12084.743488519829,-1292.0264089300301,L2/3,L2/3,L2/3,L2/3,12084.743488519829,-1292.0264089300301
Cell_326,534,9336.888855204821,-1318.031641972034,L4,L4,L4,L4,9336.888855204821,-1318.031641972034
Cell_328,674,4339.851014514781,-1319.2253970666466,L6,L6,L6,L6,4339.851014514781,-1319.2253970666466
Cell_329,694,5111.3915163528245,-1358.1383548067392,L6,L6,L6,L6,5111.3915163528245,-1358.1383548067392
Cell_330,696,10808.13406170005,-1349.8987148022065,L2/3,L2/3,L2/3,L2/3,10808.13406170005,-1349.8987148022065
Cell_331,771,11487.258774970069,-1343.8830109017579,L2/3,L2/3,L2/3,L2/3,11487.258774970069,-1343.8830109017579
Cell_332,423,12785.843337541604,-1335.4775048777688,L1,L1,L1,L1,12785.843337541604,-1335.4775048777688
Cell_333,282,2678.3182706544267,-1336.9607936037905,CC,CC,CC,CC,2678.3182706544267,-1336.9607936037905
Cell_334,273,7341.835791327317,-1349.8813559322036,L5,L5,L5,L5,7341.835791327317,-1349.8813559322036
Cell_336,403,4549.232661121418,-1361.5315660343485,L6,L6,L6,L6,4549.232661121418,-1361.5315660343485
Cell_338,720,5286.568024657209,-1359.0026079740785,L6,L6,L6,L6,5286.568024657209,-1359.0026079740785
Cell_339,603,7801.812566813161,-1377.1052381517995,L4,L4,L4,L4,7801.812566813161,-1377.1052381517995
Cell_340,384,520.6127119039836,-1356.9005744174099,HPC,HPC,HPC,HPC,520.6127119039836,-1356.9005744174099
Cell_341,205,11263.332696206198,-1382.350651607298,L2/3,L2/3,L2/3,L2/3,11263.332696206198,-1382.350651607298
Cell_342,672,12231.851927946867,-1400.6383964833483,L1,L1,L1,L1,12231.851927946867,-1400.6383964833483
Cell_343,237,3418.4048114048114,-1402.9916097416094,L6,L6,L6,L6,3418.4048114048114,-1402.9916097416094
Cell_345,359,1884.8684348586414,-1420.5523754007581,CC,CC,CC,CC,1884.8684348586414,-1420.5523754007581
Cell_347,467,3651.897558775441,-1431.5226926763266,L6,L6,L6,L6,3651.897558775441,-1431.5226926763266
Cell_348,254,12515.65684088044,-1408.8456317269465,L1,L1,L1,L1,12515.65684088044,-1408.8456317269465
Cell_349,207,12814.775857621873,-1427.9007823918835,L1,L1,L1,L1,12814.775857621873,-1427.9007823918835
Cell_350,234,8606.801302594851,-1439.087770081671,L4,L4,L4,L4,8606.801302594851,-1439.087770081671
Cell_351,524,11921.279118102537,-1448.923017360828,L2/3,L2/3,L2/3,L2/3,11921.279118102537,-1448.923017360828
Cell_352,214,1381.7812342074235,-1457.6785333258465,CC,CC,CC,CC,1381.7812342074235,-1457.6785333258465
Cell_353,202,6039.782731413176,-1478.4570530502274,L5,L5,L5,L5,6039.782731413176,-1478.4570530502274
Cell_354,301,9338.68210351012,-1460.4029592621064,L4,L4,L4,L4,9338.68210351012,-1460.4029592621064
Cell_356,540,4828.046897408929,-1483.0851419829812,L6,L6,L6,L6,4828.046897408929,-1483.0851419829812
Cell_357,511,9021.601371815428,-1493.9685551398538,L4,L4,L4,L4,9021.601371815428,-1493.9685551398538
Cell_358,208,10070.065643648764,-1512.1239556692242,L2/3,L2/3,L2/3,L2/3,10070.065643648764,-1512.1239556692242
Cell_359,459,8652.023365617433,-1512.2102300242132,L4,L4,L4,L4,8652.023365617433,-1512.2102300242132
Cell_361,661,3892.744397033846,-1507.4135631136335,L6,L6,L6,L6,3892.744397033846,-1507.4135631136335
Cell_362,207,5940.649929720445,-1522.7412931438391,L5,L5,L5,L5,5940.649929720445,-1522.7412931438391
Cell_363,356,3372.3893036801696,-1520.3337039978821,L6,L6,L6,L6,3372.3893036801696,-1520.3337039978821
Cell_365,258,5579.130817542541,-1514.1553491867521,L5,L5,L5,L5,5579.130817542541,-1514.1553491867521
Cell_366,647,12309.481344291391,-1523.199405795424,L1,L1,L1,L1,12309.481344291391,-1523.199405795424
Cell_367,828,6613.906113865104,-1529.3347979570374,L5,L5,L5,L5,6613.906113865104,-1529.3347979570374
Cell_368,626,13328.381576046217,-1542.7372668342373,L1,L1,L1,L1,13328.381576046217,-1542.7372668342373
Cell_369,319,7285.562084384315,-1527.72500573263,L5,L5,L5,L5,7285.562084384315,-1527.72500573263
Cell_370,740,11480.571652224571,-1544.270006553557,L2/3,L2/3,L2/3,L2/3,11480.571652224571,-1544.270006553557
Cell_371,217,2670.02129210266,-1551.7145608829196,CC,CC,CC,CC,2670.02129210266,-1551.7145608829196
Cell_372,418,5232.357457993055,-1552.6270064770486,L6,L6,L6,L6,5232.357457993055,-1552.6270064770486
Cell_373,233,7951.528514180024,-1548.5387638717632,L4,L4,L4,L4,7951.528514180024,-1548.5387638717632
Cell_374,305,9329.186835511613,-1559.2030879664114,L4,L4,L4,L4,9329.186835511613,-1559.2030879664114
Cell_375,275,10198.444671111554,-1568.58717285302,L2/3,L2/3,L2/3,L2/3,10198.444671111554,-1568.58717285302
Cell_377,401,8815.330976040968,-1574.9546424434554,L4,L4,L4,L4,8815.330976040968,-1574.9546424434554
Cell_378,661,1263.9676511954992,-1584.2507383966245,HPC,HPC,HPC,HPC,1263.9676511954992,-1584.2507383966245
Cell_379,533,4811.229307944493,-1601.9833834822832,L6,L6,L6,L6,4811.229307944493,-1601.9833834822832
Cell_380,231,7712.822645208726,-1590.6856465975004,L4,L4,L4,L4,7712.822645208726,-1590.6856465975004
Cell_381,624,6921.35606120047,-1594.4918399372302,L5,L5,L5,L5,6921.35606120047,-1594.4918399372302
Cell_382,893,6774.151265250791,-1587.3880855550533,L5,L5,L5,L5,6774.151265250791,-1587.3880855550533
Cell_383,414,10561.55147405105,-1604.5712065555242,L2/3,L2/3,L2/3,L2/3,10561.55147405105,-1604.5712065555242
Cell_384,347,1630.314853123707,-1605.2841184467165,CC,CC,CC,CC,1630.314853123707,-1605.2841184467165
Cell_385,227,4273.595708472069,-1617.9510173880874,L6,L6,L6,L6,4273.595708472069,-1617.9510173880874
Cell_386,306,1891.352522068096,-1631.1255359394704,CC,CC,CC,CC,1891.352522068096,-1631.1255359394704
Cell_387,296,8604.25672490294,-1641.9932057681644,L4,L4,L4,L4,8604.25672490294,-1641.9932057681644
Cell_388,659,12538.948207171316,-1650.7361802788846,L1,L1,L1,L1,12538.948207171316,-1650.7361802788846
Cell_389,318,7384.247604491212,-1664.4267238845453,L4,L4,L4,L4,7384.247604491212,-1664.4267238845453
Cell_390,384,9048.916102136529,-1656.910512103842,L4,L4,L4,L4,9048.916102136529,-1656.910512103842
Cell_391,348,11095.62515921944,-1657.234778621287,L2/3,L2/3,L2/3,L2/3,11095.62515921944,-1657.234778621287
Cell_392,701,12375.602452775835,-1663.4284949997946,L1,L1,L1,L1,12375.602452775835,-1663.4284949997946
Cell_393,349,8721.750589885849,-1658.3615840826476,L4,L4,L4,L4,8721.750589885849,-1658.3615840826476
Cell_395,288,10370.918618988902,-1666.2062938937436,L2/3,L2/3,L2/3,L2/3,10370.918618988902,-1666.2062938937436
Cell_396,1027,11912.445192030033,-1668.4719896043896,L2/3,L2/3,L2/3,L2/3,11912.445192030033,-1668.4719896043896
Cell_397,449,6650.4467858095495,-1672.9958388903708,L5,L5,L5,L5,6650.4467858095495,-1672.9958388903708
Cell_398,672,400.7796357439557,-1686.336031526254,HPC,HPC,HPC,HPC,400.7796357439557,-1686.336031526254
Cell_399,244,5471.524020694753,-1693.791512687854,L5,L5,L5,L5,5471.524020694753,-1693.791512687854
Cell_400,334,10638.058233159449,-1695.1551372193244,L2/3,L2/3,L2/3,L2/3,10638.058233159449,-1695.1551372193244
Cell_401,547,3419.9983596719344,-1726.070774154831,L6,L6,L6,L6,3419.9983596719344,-1726.070774154831
Cell_403,254,1471.2128239350461,-1712.6989767545324,CC,CC,CC,CC,1471.2128239350461,-1712.6989767545324
Cell_404,1133,7607.075434584839,-1729.914509109685,L4,L4,L4,L4,7607.075434584839,-1729.914509109685
Cell_405,448,1831.4354441464616,-1723.4058343823544,CC,CC,CC,CC,1831.4354441464616,-1723.4058343823544
Cell_406,780,5065.355604680413,-1720.8317261882073,L6,L6,L6,L6,5065.355604680413,-1720.8317261882073
Cell_407,226,2349.474271378243,-1720.2228034589514,CC,CC,CC,CC,2349.474271378243,-1720.2228034589514
Cell_408,670,12812.437598142964,-1741.9230900525704,L1,L1,L1,L1,12812.437598142964,-1741.9230900525704
Cell_409,628,9733.717967825363,-1736.826853110069,L2/3,L2/3,L2/3,L2/3,9733.717967825363,-1736.826853110069
Cell_410,612,4820.262720426157,-1761.05239713446,L6,L6,L6,L6,4820.262720426157,-1761.05239713446
Cell_411,550,3513.174202923327,-1762.3725104709806,L6,L6,L6,L6,3513.174202923327,-1762.3725104709806
Cell_412,768,733.2044486082988,-1771.3279639759437,HPC,HPC,HPC,HPC,733.2044486082988,-1771.3279639759437
Cell_413,393,8600.527366825241,-1774.0475194730514,L4,L4,L4,L4,8600.527366825241,-1774.0475194730514
Cell_414,668,4057.067257627265,-1769.6167649210379,L6,L6,L6,L6,4057.067257627265,-1769.6167649210379
Cell_415,306,6136.4003870967745,-1775.3680645161292,L5,L5,L5,L5,6136.4003870967745,-1775.3680645161292
Cell_417,418,10084.821558089743,-1763.1215100275265,L2/3,L2/3,L2/3,L2/3,10084.821558089743,-1763.1215100275265
Cell_418,536,4429.864528895429,-1793.2527779187176,L6,L6,L6,L6,4429.864528895429,-1793.2527779187176
Cell_419,582,9595.376568136542,-1791.3767296613364,L2/3,L2/3,L2/3,L2/3,9595.376568136542,-1791.3767296613364
Cell_420,256,204.1443283279221,-1795.1033887987012,HPC,HPC,HPC,HPC,204.1443283279221,-1795.1033887987012
Cell_421,459,3672.704542409219,-1792.4679753450355,L6,L6,L6,L6,3672.704542409219,-1792.4679753450355
Cell_422,335,10459.302942019294,-1792.1985385423634,L2/3,L2/3,L2/3,L2/3,10459.302942019294,-1792.1985385423634
Cell_423,747,5896.952767476034,-1780.5055629417113,L5,L5,L5,L5,5896.952767476034,-1780.5055629417113
Cell_424,278,4560.327047146402,-1782.5743353420773,L6,L6,L6,L6,4560.327047146402,-1782.5743353420773
Cell_425,283,5415.581635128578,-1823.507459970888,L5,L5,L5,L5,5415.581635128578,-1823.507459970888
Cell_426,380,6628.4957377424325,-1848.1031523542536,L5,L5,L5,L5,6628.4957377424325,-1848.1031523542536
Cell_428,306,11077.685434516523,-1823.6418715923,L2/3,L2/3,L2/3,L2/3,11077.685434516523,-1823.6418715923
Cell_429,643,10945.871798263017,-1827.3464709253626,L2/3,L2/3,L2/3,L2/3,10945.871798263017,-1827.3464709253626
Cell_430,686,12398.754018852429,-1850.6793131771426,L1,L1,L1,L1,12398.754018852429,-1850.6793131771426
Cell_431,379,2935.454494565471,-1864.351121892056,CC,CC,CC,CC,2935.454494565471,-1864.351121892056
Cell_433,1094,11521.912485035913,-1855.559806464485,L2/3,L2/3,L2/3,L2/3,11521.912485035913,-1855.559806464485
Cell_434,580,3673.2362827270367,-1916.2506264581355,L6,L6,L6,L6,3673.2362827270367,-1916.2506264581355
Cell_435,203,4553.741418145779,-1882.765294170646,L6,L6,L6,L6,4553.741418145779,-1882.765294170646
Cell_436,217,7434.632677140906,-1879.2082220704215,L4,L4,L4,L4,7434.632677140906,-1879.2082220704215
Cell_437,266,6522.6623754996945,-1887.0981773832918,L5,L5,L5,L5,6522.6623754996945,-1887.0981773832918
Cell_438,850,9102.99012175511,-1894.6172371544528,L4,L4,L4,L4,9102.99012175511,-1894.6172371544528
Cell_439,210,9521.011093890203,-1887.813524757321,L2/3,L2/3,L2/3,L2/3,9521.011093890203,-1887.813524757321
Cell_440,317,1536.7712510590231,-1891.643547020616,CC,CC,CC,CC,1536.7712510590231,-1891.643547020616
Cell_441,579,13458.360749759693,-1876.3920858699132,L1,L1,L1,L1,13458.360749759693,-1876.3920858699132
Cell_442,702,3242.135306712745,-1879.9758461365088,L6,L6,L6,L6,3242.135306712745,-1879.9758461365088
Cell_443,225,7074.874133575177,-1912.112262745352,L5,L5,L5,L5,7074.874133575177,-1912.112262745352
Cell_444,547,11999.200987188733,-1906.7081692640447,L2/3,L2/3,L2/3,L2/3,11999.200987188733,-1906.7081692640447
Cell_446,394,8733.114543422733,-1890.6914112388247,L4,L4,L4,L4,8733.114543422733,-1890.6914112388247
Cell_447,555,8474.954367841905,-1922.1116101504606,L4,L4,L4,L4,8474.954367841905,-1922.1116101504606
Cell_448,533,6337.715992209479,-1926.7234364856088,L5,L5,L5,L5,6337.715992209479,-1926.7234364856088
Cell_449,569,4077.5133860172573,-1944.415974518184,L6,L6,L6,L6,4077.5133860172573,-1944.415974518184
Cell_450,282,8905.059566672984,-1946.883203840566,L4,L4,L4,L4,8905.059566672984,-1946.883203840566
Cell_451,240,2229.736591333462,-1914.5755585602988,CC,CC,CC,CC,2229.736591333462,-1914.5755585602988
Cell_452,614,4247.094197583291,-1951.053044048952,L6,L6,L6,L6,4247.094197583291,-1951.053044048952
Cell_453,332,8262.113869907673,-1938.938500860675,L4,L4,L4,L4,8262.113869907673,-1938.938500860675
Cell_454,602,10193.01467637222,-1947.499547511312,L2/3,L2/3,L2/3,L2/3,10193.01467637222,-1947.499547511312
Cell_455,278,2129.236849648846,-1940.4930485882185,CC,CC,CC,CC,2129.236849648846,-1940.4930485882185
Cell_456,220,5990.443538355217,-1951.1027643400141,L5,L5,L5,L5,5990.443538355217,-1951.1027643400141
Cell_457,276,11876.677513711153,-1965.2455210237658,L2/3,L2/3,L2/3,L2/3,11876.677513711153,-1965.2455210237658
Cell_458,523,13693.87027148306,-1979.586538030065,L1,L1,L1,L1,13693.87027148306,-1979.586538030065
Cell_459,453,13803.298437071566,-1978.0406909788867,L1,L1,L1,L1,13803.298437071566,-1978.0406909788867
Cell_460,616,8074.151013617058,-1971.4722623582468,L4,L4,L4,L4,8074.151013617058,-1971.4722623582468
Cell_461,511,1327.4412436755345,-1995.0072221315488,CC,CC,CC,CC,1327.4412436755345,-1995.0072221315488
Cell_462,251,9605.875577206069,-2014.5757852539707,L2/3,L2/3,L2/3,L2/3,9605.875577206069,-2014.5757852539707
Cell_463,661,12071.3768993552,-2002.1645079899076,L2/3,L2/3,L2/3,L2/3,12071.3768993552,-2002.1645079899076
Cell_464,493,1674.5398886827459,-2012.0047928262213,CC,CC,CC,CC,1674.5398886827459,-2012.0047928262213
Cell_465,1021,11673.334576106336,-2048.1997622521208,L2/3,L2/3,L2/3,L2/3,11673.334576106336,-2048.1997622521208
Cell_466,293,2221.314025571484,-2048.078264238667,CC,CC,CC,CC,2221.314025571484,-2048.078264238667
Cell_467,809,12249.327046035804,-2019.002628587667,L1,L1,L1,L1,12249.327046035804,-2019.002628587667
Cell_468,261,2522.381536066929,-2026.619047619048,CC,CC,CC,CC,2522.381536066929,-2026.619047619048
Cell_470,779,9914.660955638134,-2043.864086290243,L2/3,L2/3,L2/3,L2/3,9914.660955638134,-2043.864086290243
Cell_471,301,2086.1667300139366,-2050.7697960217915,CC,CC,CC,CC,2086.1667300139366,-2050.7697960217915
Cell_472,692,5163.644534376946,-2058.5639953749,L6,L6,L6,L6,5163.644534376946,-2058.5639953749
Cell_473,947,12614.597120523991,-2083.2944974820034,L1,L1,L1,L1,12614.597120523991,-2083.2944974820034
Cell_474,425,3174.1782348346783,-2071.441655818797,CC,CC,CC,CC,3174.1782348346783,-2071.441655818797
Cell_476,733,4701.313734798963,-2088.9599751670744,L6,L6,L6,L6,4701.313734798963,-2088.9599751670744
Cell_477,517,6500.3934709842415,-2062.2763548835987,L5,L5,L5,L5,6500.3934709842415,-2062.2763548835987
Cell_478,707,11264.252663549149,-2100.9192016583906,L2/3,L2/3,L2/3,L2/3,11264.252663549149,-2100.9192016583906
Cell_480,327,9130.210666946088,-2110.9741185099806,L4,L4,L4,L4,9130.210666946088,-2110.9741185099806
Cell_481,1086,10750.387593222124,-2129.2167233246373,L2/3,L2/3,L2/3,L2/3,10750.387593222124,-2129.2167233246373
Cell_482,446,3428.0169431835966,-2106.3017295351387,L6,L6,L6,L6,3428.0169431835966,-2106.3017295351387
Cell_483,477,337.5853822716644,-2104.651668674272,HPC,HPC,HPC,HPC,337.5853822716644,-2104.651668674272
Cell_484,316,12088.098012078508,-2121.443256165073,L2/3,L2/3,L2/3,L2/3,12088.098012078508,-2121.443256165073
Cell_485,460,3812.059185918592,-2124.0699669967003,L6,L6,L6,L6,3812.059185918592,-2124.0699669967003
Cell_486,551,5413.996319292114,-2132.8005725545604,L5,L5,L5,L5,5413.996319292114,-2132.8005725545604
Cell_487,467,8682.971725193762,-2126.9429719644054,L4,L4,L4,L4,8682.971725193762,-2126.9429719644054
Cell_488,629,10433.53763899367,-2137.1695804769247,L2/3,L2/3,L2/3,L2/3,10433.53763899367,-2137.1695804769247
Cell_489,624,12316.578089530554,-2127.0053119041127,L1,L1,L1,L1,12316.578089530554,-2127.0053119041127
Cell_493,520,11364.6960888216,-2163.473832954832,L2/3,L2/3,L2/3,L2/3,11364.6960888216,-2163.473832954832
Cell_494,269,11064.726384708802,-2149.4633296372563,L2/3,L2/3,L2/3,L2/3,11064.726384708802,-2149.4633296372563
Cell_495,278,2620.13862968723,-2182.8433125972006,CC,CC,CC,CC,2620.13862968723,-2182.8433125972006
Cell_496,502,8496.021765913758,-2185.2718685831624,L4,L4,L4,L4,8496.021765913758,-2185.2718685831624
Cell_497,280,12201.394696738798,-2176.772833485726,L1,L1,L1,L1,12201.394696738798,-2176.772833485726
Cell_498,225,6304.2727411090245,-2183.4504084014,L5,L5,L5,L5,6304.2727411090245,-2183.4504084014
Cell_500,669,5189.623860157356,-2246.767949435428,L6,L6,L6,L6,5189.623860157356,-2246.767949435428
Cell_501,364,3177.2049806178784,-2189.509691060731,CC,CC,CC,CC,3177.2049806178784,-2189.509691060731
Cell_503,863,13042.421541944,-2206.336791613894,L1,L1,L1,L1,13042.421541944,-2206.336791613894
Cell_504,494,3705.1120896717375,-2216.756605284228,L6,L6,L6,L6,3705.1120896717375,-2216.756605284228
Cell_505,502,9477.672614832647,-2217.9689373554265,L2/3,L2/3,L2/3,L2/3,9477.672614832647,-2217.9689373554265
Cell_506,1168,7248.250865392733,-2222.635944052008,L5,L5,L5,L5,7248.250865392733,-2222.635944052008
Cell_507,501,7624.078644475637,-2212.610266693403,L4,L4,L4,L4,7624.078644475637,-2212.610266693403
Cell_508,304,2081.3231816079806,-2257.276474862919,CC,CC,CC,CC,2081.3231816079806,-2257.276474862919
Cell_509,520,8784.93323505635,-2217.8636169099814,L4,L4,L4,L4,8784.93323505635,-2217.8636169099814
Cell_510,624,4035.588924802368,-2205.416488181004,L6,L6,L6,L6,4035.588924802368,-2205.416488181004
Cell_511,801,11604.559972700903,-2249.071796621737,L2/3,L2/3,L2/3,L2/3,11604.559972700903,-2249.071796621737
Cell_512,405,3560.021199402433,-2230.532759479263,L6,L6,L6,L6,3560.021199402433,-2230.532759479263
Cell_514,554,6576.766605363329,-2262.367477866644,L5,L5,L5,L5,6576.766605363329,-2262.367477866644
Cell_515,882,12233.935237588788,-2282.498119800965,L1,L1,L1,L1,12233.935237588788,-2282.498119800965
Cell_516,563,10307.7912354021,-2276.357497168301,L2/3,L2/3,L2/3,L2/3,10307.7912354021,-2276.357497168301
Cell_517,262,6417.2165647214415,-2279.929575136386,L5,L5,L5,L5,6417.2165647214415,-2279.929575136386
Cell_518,230,1581.4925633206797,-2294.6060115750824,CC,CC,CC,CC,1581.4925633206797,-2294.6060115750824
Cell_519,445,10558.718125372121,-2298.1801054690827,L2/3,L2/3,L2/3,L2/3,10558.718125372121,-2298.1801054690827
Cell_520,1221,6947.637525399662,-2306.617523930766,L5,L5,L5,L5,6947.637525399662,-2306.617523930766
Cell_521,314,9010.966353174836,-2302.794322098253,L4,L4,L4,L4,9010.966353174836,-2302.794322098253
Cell_522,222,3166.387577738797,-2301.763275394674,CC,CC,CC,CC,3166.387577738797,-2301.763275394674
Cell_523,1165,12545.926479971644,-2277.1313954862344,L1,L1,L1,L1,12545.926479971644,-2277.1313954862344
Cell_524,662,3356.3993684210527,-2300.6416842105264,L6,L6,L6,L6,3356.3993684210527,-2300.6416842105264
Cell_525,360,3607.285243249969,-2318.8582182406367,L6,L6,L6,L6,3607.285243249969,-2318.8582182406367
Cell_527,236,9188.23651235642,-2302.8447035618983,L4,L4,L4,L4,9188.23651235642,-2302.8447035618983
Cell_528,261,1357.3006037496027,-2342.230695900858,CC,CC,CC,CC,1357.3006037496027,-2342.230695900858
Cell_529,562,8217.042637122833,-2311.1021444458434,L4,L4,L4,L4,8217.042637122833,-2311.1021444458434
Cell_530,520,9380.86202759448,-2317.1535692861426,L4,L4,L4,L4,9380.86202759448,-2317.1535692861426
Cell_531,595,9794.00145658846,-2320.6014149716484,L2/3,L2/3,L2/3,L2/3,9794.00145658846,-2320.6014149716484
Cell_532,637,11382.334001359912,-2373.467845256415,L2/3,L2/3,L2/3,L2/3,11382.334001359912,-2373.467845256415
Cell_534,604,4021.1535896529076,-2358.057090890719,L6,L6,L6,L6,4021.1535896529076,-2358.057090890719
Cell_535,207,1433.9199215558099,-2363.556545187122,CC,CC,CC,CC,1433.9199215558099,-2363.556545187122
Cell_536,508,10183.901622498648,-2359.514169821525,L2/3,L2/3,L2/3,L2/3,10183.901622498648,-2359.514169821525
Cell_537,390,12979.17099544702,-2367.4846854304637,L1,L1,L1,L1,12979.17099544702,-2367.4846854304637
Cell_538,280,2676.5566769792567,-2385.187655322818,CC,CC,CC,CC,2676.5566769792567,-2385.187655322818
Cell_539,1049,6299.526419146978,-2384.8474071801165,L5,L5,L5,L5,6299.526419146978,-2384.8474071801165
Cell_540,233,10913.24751222318,-2382.218521714121,L2/3,L2/3,L2/3,L2/3,10913.24751222318,-2382.218521714121
Cell_541,691,3861.974471728218,-2394.6819473090245,L6,L6,L6,L6,3861.974471728218,-2394.6819473090245
Cell_542,632,9879.706016987946,-2402.255124357866,L2/3,L2/3,L2/3,L2/3,9879.706016987946,-2402.255124357866
Cell_544,795,11910.411625450703,-2418.077575845868,L2/3,L2/3,L2/3,L2/3,11910.411625450703,-2418.077575845868
Cell_545,303,56.79647507858107,-2397.136955545577,HPC,HPC,HPC,HPC,56.79647507858107,-2397.136955545577
Cell_547,354,12793.886234223655,-2400.143997651893,L1,L1,L1,L1,12793.886234223655,-2400.143997651893
Cell_548,483,4897.680806481654,-2403.217498603092,L6,L6,L6,L6,4897.680806481654,-2403.217498603092
Cell_549,394,9065.103145478377,-2435.4258191349936,L4,L4,L4,L4,9065.103145478377,-2435.4258191349936
Cell_550,222,1519.775072054585,-2442.446326686665,CC,CC,CC,CC,1519.775072054585,-2442.446326686665
Cell_551,268,12339.975925462732,-2476.5818534267128,L1,L1,L1,L1,12339.975925462732,-2476.5818534267128
Cell_552,517,8971.452567608629,-2480.7585536311153,L4,L4,L4,L4,8971.452567608629,-2480.7585536311153
Cell_553,374,8762.017298556959,-2481.3356637088823,L4,L4,L4,L4,8762.017298556959,-2481.3356637088823
Cell_554,523,10775.797955850589,-2477.902323376008,L2/3,L2/3,L2/3,L2/3,10775.797955850589,-2477.902323376008
Cell_555,418,5875.07868852459,-2468.329309488326,L5,L5,L5,L5,5875.07868852459,-2468.329309488326
Cell_556,402,9214.418371141688,-2491.5673732490395,L4,L4,L4,L4,9214.418371141688,-2491.5673732490395
Cell_557,792,7949.356976611088,-2481.914800259453,L4,L4,L4,L4,7949.356976611088,-2481.914800259453
Cell_558,575,8375.271878188525,-2507.4260262145826,L4,L4,L4,L4,8375.271878188525,-2507.4260262145826
Cell_559,398,4675.608398987057,-2501.907357906584,L6,L6,L6,L6,4675.608398987057,-2501.907357906584
Cell_560,400,8619.853753656158,-2505.9441555627773,L4,L4,L4,L4,8619.853753656158,-2505.9441555627773
Cell_561,337,10357.302654356608,-2515.3481438738213,L2/3,L2/3,L2/3,L2/3,10357.302654356608,-2515.3481438738213
Cell_562,328,10908.300122216908,-2515.183750464956,L2/3,L2/3,L2/3,L2/3,10908.300122216908,-2515.183750464956
Cell_563,485,9323.36140485804,-2518.036210985067,L4,L4,L4,L4,9323.36140485804,-2518.036210985067
Cell_564,202,11593.626422463134,-2542.1200592552686,L2/3,L2/3,L2/3,L2/3,11593.626422463134,-2542.1200592552686
Cell_565,248,11701.318829445454,-2543.315616706244,L2/3,L2/3,L2/3,L2/3,11701.318829445454,-2543.315616706244
Cell_566,794,6260.788397992902,-2527.96724187166,L5,L5,L5,L5,6260.788397992902,-2527.96724187166
Cell_567,380,3188.882249182585,-2567.109017380829,L6,L6,L6,L6,3188.882249182585,-2567.109017380829
Cell_568,282,1894.2250187611846,-2578.2832650233795,CC,CC,CC,CC,1894.2250187611846,-2578.2832650233795
Cell_569,706,7833.776540652511,-2592.445321940273,L4,L4,L4,L4,7833.776540652511,-2592.445321940273
Cell_570,651,5160.499735589635,-2568.470474175921,L6,L6,L6,L6,5160.499735589635,-2568.470474175921
Cell_571,869,4750.559976914432,-2604.1309498496407,L6,L6,L6,L6,4750.559976914432,-2604.1309498496407
Cell_573,367,9406.123972292356,-2577.8192529293715,L4,L4,L4,L4,9406.123972292356,-2577.8192529293715
Cell_575,586,9640.303373893803,-2588.301898967552,L2/3,L2/3,L2/3,L2/3,9640.303373893803,-2588.301898967552
